,x,y,z,layer,qt,fs
0,0,0,0,1,9.272433063809634,110.27243306380963
1,0,0,1,1,9.11136937444347,110.11136937444347
2,0,0,2,1,8.921604884276773,109.92160488427677
3,0,0,3,1,8.74457943796789,109.74457943796789
4,0,0,4,1,8.620016845581134,109.62001684558113
5,0,0,5,1,8.57559762321767,109.57559762321767
6,0,0,6,1,8.620402753019428,109.62040275301943
7,0,0,7,1,8.743711442656355,109.74371144265635
8,0,0,8,1,8.919004734801982,109.91900473480199
9,0,0,9,1,9.111560771107186,110.1115607711072
10,0,0,10,1,9.287251848972032,110.28725184897203
11,0,0,11,1,9.420186864573795,110.4201868645738
12,0,0,12,1,9.497512016792628,110.49751201679263
13,0,0,13,1,9.52064854092923,110.52064854092923
14,0,0,14,1,9.503168806025736,110.50316880602574
15,0,0,15,1,9.46617569185941,110.4661756918594
16,0,0,16,1,9.432400093171601,110.4324000931716
17,0,0,17,1,9.420324722251273,110.42032472225127
18,0,0,18,1,9.439558331795734,110.43955833179574
19,0,0,19,1,9.488455358251832,110.48845535825183
20,0,0,20,1,9.554579748943889,110.5545797489439
21,0,0,21,1,9.618026275125336,110.61802627512533
22,0,0,22,1,9.656891655772688,110.65689165577268
23,0,0,23,1,9.653501864090911,110.65350186409091
24,0,0,24,1,9.599604973728006,110.599604973728
25,0,0,25,1,9.49886247752125,110.49886247752124
26,0,0,26,1,9.365694916612856,110.36569491661285
27,0,0,27,1,9.220700240412356,110.22070024041236
28,0,0,28,1,9.084084166124043,110.08408416612404
29,0,0,29,1,8.969347597721129,109.96934759772112
30,0,0,30,1,8.879498594530867,109.87949859453087
31,0,0,31,1,8.8072098973378,109.8072098973378
32,0,0,32,1,8.73889603155738,109.73889603155737
33,0,0,33,1,8.661178157414724,109.66117815741472
34,0,0,34,1,8.567244722028502,109.5672447220285
35,0,0,35,1,8.460614232859463,109.46061423285946
36,0,0,36,1,8.354796260426873,109.35479626042687
37,0,0,37,1,8.268949860274148,109.26894986027415
38,0,0,38,1,8.221211493542476,109.22121149354247
39,0,0,39,1,8.222265299680044,109.22226529968005
40,0,0,40,1,8.271590340008364,109.27159034000836
41,0,0,41,1,8.357709632096073,109.35770963209607
42,0,0,42,1,8.46215864800347,109.46215864800347
43,0,0,43,1,8.565462625765944,109.56546262576595
44,0,0,44,1,8.652747878818845,109.65274787881884
45,0,0,45,1,8.716955636945645,109.71695563694564
46,0,0,46,1,8.758781245462501,109.7587812454625
47,0,0,47,1,8.783888208844466,109.78388820884447
48,0,0,48,1,8.799012850066365,109.79901285006636
49,0,0,49,1,8.808838534988638,109.80883853498864
50,0,0,50,1,8.814917095454167,109.81491709545416
51,0,0,51,1,8.816782384700762,109.81678238470076
52,0,0,52,1,8.814296888330057,109.81429688833006
53,0,0,53,1,8.809716718798352,109.80971671879836
54,0,0,54,1,8.80819144023097,109.80819144023097
55,0,0,55,1,8.816286992111767,109.81628699211177
56,0,0,56,1,8.83918308167744,109.83918308167745
57,0,0,57,1,8.877921020653936,109.87792102065394
58,0,0,58,1,8.92811079448128,109.92811079448128
59,0,0,59,1,8.980837764146422,109.98083776414641
60,0,0,60,1,9.025473146287778,110.02547314628778
61,0,0,61,1,9.053197179037614,110.05319717903761
62,0,0,62,1,9.05972346278685,110.05972346278685
63,0,0,63,1,9.046114621287687,110.04611462128769
64,0,0,64,1,9.017494668655656,110.01749466865566
65,0,0,65,1,8.980434575187623,109.98043457518762
66,0,0,66,1,8.940336993962019,109.94033699396202
67,0,0,67,1,8.900015373754611,109.90001537375461
68,0,0,68,1,8.859941118042407,109.8599411180424
69,0,0,69,1,8.819711050701306,109.8197110507013
70,0,0,70,1,8.779658359225774,109.77965835922578
71,0,0,71,1,8.741531142869595,109.74153114286959
72,0,0,72,1,8.707795646998576,109.70779564699858
73,0,0,73,1,8.680040648117084,109.68004064811709
74,0,0,74,1,8.657642698088088,109.65764269808808
75,0,0,75,1,8.637872484321074,109.63787248432108
76,0,0,76,1,8.61788944294783,109.61788944294783
77,0,0,77,1,8.597909357252155,109.59790935725215
78,0,0,78,1,8.583844970839849,109.58384497083985
79,0,0,79,1,8.587508621106746,109.58750862110675
80,0,0,80,1,8.62329576111743,109.62329576111743
81,0,0,81,1,8.70189486265597,109.70189486265598
82,0,0,82,1,8.823294408488723,109.82329440848872
83,0,0,83,1,8.97232098681697,109.97232098681697
84,0,0,84,1,9.119526353143295,110.1195263531433
85,0,0,85,1,9.228403751243258,110.22840375124326
86,0,0,86,1,9.267281376910553,110.26728137691055
87,0,0,87,1,9.221895496062608,110.22189549606261
88,0,0,88,1,9.10367725696531,110.10367725696531
89,0,0,89,1,8.949799272680378,109.94979927268038
90,0,0,90,1,8.813819349917026,109.81381934991703
91,0,0,91,1,8.7493382173041,109.7493382173041
92,0,0,92,1,8.792040647263327,109.79204064726333
93,0,0,93,1,8.946553110856575,109.94655311085657
94,0,0,94,1,9.183164743087112,110.1831647430871
95,0,0,95,1,9.446037925161054,110.44603792516105
96,0,0,96,1,9.67034696626435,110.67034696626435
97,0,0,97,1,9.802453746468982,110.80245374646898
98,0,0,98,1,9.816082621563682,110.81608262156368
99,0,0,99,1,9.71896661791118,110.71896661791118
100,0,1,0,1,9.299639731519957,110.29963973151996
101,0,1,1,1,9.142741745407507,110.1427417454075
102,0,1,2,1,8.958824538928168,109.95882453892817
103,0,1,3,1,8.785329454748082,109.78532945474808
104,0,1,4,1,8.658841922140288,109.65884192214028
105,0,1,5,1,8.60590346584047,109.60590346584047
106,0,1,6,1,8.636798281898834,109.63679828189883
107,0,1,7,1,8.743857966515662,109.74385796651566
108,0,1,8,1,8.904405836340601,109.9044058363406
109,0,1,9,1,9.08715927583099,110.08715927583098
110,0,1,10,1,9.26010619410009,110.26010619410009
111,0,1,11,1,9.397730989919255,110.39773098991925
112,0,1,12,1,9.485911686860643,110.48591168686065
113,0,1,13,1,9.523606656359734,110.52360665635973
114,0,1,14,1,9.521315722895004,110.52131572289501
115,0,1,15,1,9.497014954317484,110.49701495431748
116,0,1,16,1,9.470714834914652,110.47071483491466
117,0,1,17,1,9.4589632657141,110.4589632657141
118,0,1,18,1,9.470542536598195,110.47054253659819
119,0,1,19,1,9.504330204053373,110.50433020405337
120,0,1,20,1,9.549833233822513,110.54983323382251
121,0,1,21,1,9.590300146724038,110.59030014672403
122,0,1,22,1,9.607654855102433,110.60765485510244
123,0,1,23,1,9.587934402512259,110.58793440251226
124,0,1,24,1,9.525646286534007,110.52564628653401
125,0,1,25,1,9.425648525013353,110.42564852501336
126,0,1,26,1,9.301829121164523,110.30182912116452
127,0,1,27,1,9.172868975918533,110.17286897591853
128,0,1,28,1,9.056395055776582,110.05639505577658
129,0,1,29,1,8.963485431258743,109.96348543125875
130,0,1,30,1,8.895479347929047,109.89547934792904
131,0,1,31,1,8.84430641585905,109.84430641585905
132,0,1,32,1,8.79629942947924,109.79629942947923
133,0,1,33,1,8.738143732574134,109.73814373257413
134,0,1,34,1,8.66275408728946,109.66275408728946
135,0,1,35,1,8.572824213517402,109.5728242135174
136,0,1,36,1,8.480622710449524,109.48062271044952
137,0,1,37,1,8.404018805654198,109.4040188056542
138,0,1,38,1,8.360171719829353,109.36017171982935
139,0,1,39,1,8.359234203775392,109.35923420377539
140,0,1,40,1,8.40043259156739,109.4004325915674
141,0,1,41,1,8.47198180346263,109.47198180346263
142,0,1,42,1,8.554833387043711,109.55483338704371
143,0,1,43,1,8.628820737823128,109.62882073782313
144,0,1,44,1,8.678923144968586,109.67892314496859
145,0,1,45,1,8.699433266750317,109.69943326675032
146,0,1,46,1,8.694719013344795,109.6947190133448
147,0,1,47,1,8.67661878307125,109.67661878307125
148,0,1,48,1,8.65973659780284,109.65973659780285
149,0,1,49,1,8.656531145765234,109.65653114576523
150,0,1,50,1,8.673920474194905,109.6739204741949
151,0,1,51,1,8.712300983551645,109.71230098355164
152,0,1,52,1,8.76681597642399,109.76681597642398
153,0,1,53,1,8.829880086539005,109.829880086539
154,0,1,54,1,8.893695924250071,109.89369592425007
155,0,1,55,1,8.951828661875243,109.95182866187524
156,0,1,56,1,8.999594195300489,109.99959419530049
157,0,1,57,1,9.033683410141835,110.03368341014183
158,0,1,58,1,9.051755920026137,110.05175592002614
159,0,1,59,1,9.052568989752046,110.05256898975205
160,0,1,60,1,9.036698154860547,110.03669815486055
161,0,1,61,1,9.007368853419496,110.00736885341949
162,0,1,62,1,8.970673481699482,109.97067348169948
163,0,1,63,1,8.934652580838707,109.9346525808387
164,0,1,64,1,8.907281720943784,109.90728172094379
165,0,1,65,1,8.894033544826353,109.89403354482636
166,0,1,66,1,8.89603247775519,109.89603247775518
167,0,1,67,1,8.909673623647114,109.90967362364711
168,0,1,68,1,8.927973302255923,109.92797330225592
169,0,1,69,1,8.943135939524456,109.94313593952445
170,0,1,70,1,8.949249729262846,109.94924972926285
171,0,1,71,1,8.943963545049881,109.94396354504988
172,0,1,72,1,8.928503123563907,109.9285031235639
173,0,1,73,1,8.906218548567821,109.90621854856782
174,0,1,74,1,8.88059680400938,109.88059680400939
175,0,1,75,1,8.853926144202916,109.85392614420292
176,0,1,76,1,8.827400009134577,109.82740000913458
177,0,1,77,1,8.802570194117717,109.80257019411772
178,0,1,78,1,8.783147981796247,109.78314798179625
179,0,1,79,1,8.775717294496872,109.77571729449687
180,0,1,80,1,8.78827707976938,109.78827707976937
181,0,1,81,1,8.826599985544211,109.8265999855442
182,0,1,82,1,8.889718937566567,109.88971893756657
183,0,1,83,1,8.96676823637967,109.96676823637966
184,0,1,84,1,9.037355224716416,110.03735522471642
185,0,1,85,1,9.07646619982849,110.07646619982849
186,0,1,86,1,9.062988323045115,110.06298832304512
187,0,1,87,1,8.989046697956866,109.98904669795687
188,0,1,88,1,8.866395898385939,109.86639589838595
189,0,1,89,1,8.726645530266131,109.72664553026613
190,0,1,90,1,8.61411245076497,109.61411245076498
191,0,1,91,1,8.572894104807613,109.57289410480762
192,0,1,92,1,8.632247325874593,109.63224732587459
193,0,1,93,1,8.795462388837151,109.79546238883715
194,0,1,94,1,9.036565213951068,110.03656521395106
195,0,1,95,1,9.30656093187344,110.30656093187343
196,0,1,96,1,9.547490884211314,110.54749088421131
197,0,1,97,1,9.70964049131057,110.70964049131057
198,0,1,98,1,9.765985685190788,110.76598568519078
199,0,1,99,1,9.718935928969648,110.71893592896964
200,0,2,0,1,9.230972929815444,110.23097292981544
201,0,2,1,1,9.091552652293927,110.09155265229393
202,0,2,2,1,8.930539933106378,109.93053993310637
203,0,2,3,1,8.77856903022961,109.7785690302296
