,x,y,z,IC
192,1,4,1,1.689162459355408
193,1,4,2,1.6910441103593687
194,1,4,3,1.6896255172278203
195,1,4,4,1.6856724132858516
196,1,4,5,1.6800429012575
197,1,4,6,3.7529658512417123
198,1,4,7,3.7086027683330878
199,1,4,8,3.6533607875384004
200,1,4,9,3.5876475566584682
201,1,4,10,3.512359299429652
202,1,4,11,3.4290944410699864
203,1,4,12,3.340288409716214
204,1,4,13,3.2492318484933884
205,1,4,14,3.1599513697736077
206,1,4,15,3.0769530272191434
207,1,4,16,3.004850731303305
208,1,4,17,2.947921520412772
209,1,4,18,2.9096438300980054
210,1,4,19,2.8922813353549732
211,1,4,20,2.8965723502842984
212,1,4,21,2.9215732543430164
213,1,4,22,2.9646854062219723
214,1,4,23,3.021871080815185
215,1,4,24,3.0880384785572885
216,1,4,25,3.1575524625640257
217,1,4,26,3.224809790899107
218,1,4,27,3.284807895369955
219,1,4,28,3.333636231245459
220,1,4,29,3.3688290140701738
221,1,4,30,3.389536479028592
222,1,4,31,3.396496108170866
223,1,4,32,3.391812149915949
224,1,4,33,3.3785773925913376
225,1,4,34,3.360391904393362
226,1,4,35,3.340846371685306
227,1,4,36,3.323040945934424
228,1,4,37,3.3092037389349183
229,1,4,38,3.3004573418529075
230,1,4,39,3.2967593498202628
231,1,4,40,3.2970171726591353
232,1,4,41,3.2993521924269267
233,1,4,42,3.301467282560384
234,1,4,43,3.3010578803608985
235,1,4,44,3.296202157625885
236,1,4,45,3.285670933130098
237,1,4,46,3.2691119212987987
238,1,4,47,3.2470834953813696
239,1,4,48,3.220937156730036
240,1,4,49,3.1925716420106895
241,1,4,50,3.1641014288824056
242,1,4,51,3.137495296099497
243,1,4,52,3.1142446103674333
244,1,4,53,3.0951155761462816
245,1,4,54,3.0800256824887517
246,1,4,55,1.8518362707476224
247,1,4,56,1.791848314826789
248,1,4,57,1.7312852984997926
249,1,4,58,1.6749786624692615
250,1,4,59,1.6278636691264192
251,1,4,60,1.594536052422933
252,1,4,61,1.5788198921976575
253,1,4,62,1.7852950440180013
254,1,4,63,1.8076562383524222
255,1,4,64,1.8208721271511104
32192,2,4,1,1.6981528361591416
32193,2,4,2,1.6992699768340627
32194,2,4,3,1.6973819878051204
32195,2,4,4,1.6932174758546135
32196,2,4,5,1.6875663672290084
32197,2,4,6,1.6811734883562264
32198,2,4,7,3.701722315876027
32199,2,4,8,3.644757693929474
32200,2,4,9,3.5777445250255857
32201,2,4,10,3.5015216691930355
32202,2,4,11,3.4176033426737735
32203,2,4,12,3.328326602372372
32204,2,4,13,3.2368844063046858
32205,2,4,14,3.1472215252280296
32206,2,4,15,3.0637914731139286
32207,2,4,16,2.9911947897281657
32208,2,4,17,2.9337390755390116
32209,2,4,18,2.8949760155334014
32210,2,4,19,2.877277818857054
32211,2,4,20,2.881513723181533
32212,2,4,21,2.906876455571726
32213,2,4,22,2.9508901315339315
32214,2,4,23,3.0096074997627196
32215,2,4,24,3.0779790032223473
32216,2,4,25,3.1503524651214474
32217,2,4,26,3.2210437621045074
32218,2,4,27,3.284908350911526
32219,2,4,28,3.337842585000195
32220,2,4,29,3.3771526418303712
32221,2,4,30,3.4017464084806464
