,x,y,z,IC
13824,1,217,1,1.7734114925159232
13825,1,217,2,1.788628765399757
13826,1,217,3,1.7979123950915918
13827,1,217,4,1.8032600551428453
13828,1,217,5,1.8072439393947342
13829,1,217,6,1.9923838783729468
13830,1,217,7,2.0270168217324662
13831,1,217,8,2.0736482802245333
13832,1,217,9,2.130394018986297
13833,1,217,10,2.1949120811231997
13834,1,217,11,2.2644402053554042
13835,1,217,12,2.335908788057638
13836,1,217,13,2.4061218516218257
13837,1,217,14,2.4719859038988523
13838,1,217,15,2.530757100248568
13839,1,217,16,2.5802723112813117
13840,1,217,17,2.6191303614789403
13841,1,217,18,2.6467957687124426
13842,1,217,19,2.663607859976814
13843,1,217,20,2.670691539594633
13844,1,217,21,2.669780174355073
13845,1,217,22,2.6629738485960006
13846,1,217,23,2.6524656651986542
13847,1,217,24,2.6402733829401144
13848,1,217,25,2.6280127849811885
13849,1,217,26,2.6167429091345715
13850,1,217,27,2.606902594684682
13851,1,217,28,2.59834433198608
13852,1,217,29,2.590457169074202
13853,1,217,30,2.582357561564647
13854,1,217,31,2.573117450710798
13855,1,217,32,2.5619939120235813
13856,1,217,33,2.5486251114145273
13857,1,217,34,2.5331629079196563
13858,1,217,35,2.516322344912603
13859,1,217,36,2.4993409386435674
13860,1,217,37,2.4838541778077112
13861,1,217,38,2.4717059706140696
13862,1,217,39,2.4647221075665637
13863,1,217,40,2.4644798191458515
13864,1,217,41,2.4721065383933567
13865,1,217,42,2.488136126553224
13866,1,217,43,2.5124419105703595
13867,1,217,44,2.5442543285925425
13868,1,217,45,2.58225856215624
13869,1,217,46,1.6217697051208857
13870,1,217,47,1.6362537334592613
13871,1,217,48,1.6613071057623725
13872,1,217,49,1.6932823191794621
13873,1,217,50,1.7284192292955414
13874,1,217,51,1.7633283339931838
13875,1,217,52,1.7954239732549473
13876,1,217,53,1.6753727509422003
13877,1,217,54,1.670575040741259
13878,1,217,55,1.6589088873918076
13879,1,217,56,1.6418015089898343
13880,1,217,57,1.6208855858860767
13881,1,217,58,1.5978268485760039
13882,1,217,59,1.5741721771813546
13883,1,217,60,1.5512359822304087
13884,1,217,61,1.53003567727411
13885,1,217,62,1.5112789045243562
13886,1,217,63,1.4953970971119628
13887,1,217,64,1.482613164605202
45824,2,217,1,1.7665451080001664
45825,2,217,2,1.7813238105293385
45826,2,217,3,1.7902476445443634
45827,2,217,4,1.7953306882677296
45828,2,217,5,1.7991508340972793
45829,2,217,6,1.8045075706030544
45830,2,217,7,2.0328669029789683
45831,2,217,8,2.0802592260489403
45832,2,217,9,2.1377760995693507
45833,2,217,10,2.202998804330898
45834,2,217,11,2.2730847704971957
45835,2,217,12,2.3448851968021214
45836,2,217,13,2.415131744672201
45837,2,217,14,2.480671559654337
45838,2,217,15,2.538720262210495
45839,2,217,16,2.5870977170809226
45840,2,217,17,2.6244121485217997
45841,2,217,18,2.6501644390174466
45842,2,217,19,2.664755281047245
45843,2,217,20,2.6693915788577067
45844,2,217,21,2.66590300320395
45845,2,217,22,2.6564926517867358
45846,2,217,23,2.643455355710129
45847,2,217,24,2.6289018290776136
45848,2,217,25,2.6145258759172583
45849,2,217,26,2.6014454002702205
45850,2,217,27,2.5901369990114915
45851,2,217,28,2.5804701162955723
45852,2,217,29,2.571832183971465
45853,2,217,30,2.5633230416534243
45854,2,217,31,2.5539871672313024
45855,2,217,32,2.5430472716402646
45856,2,217,33,2.5301033046942485
45857,2,217,34,2.51526673701139
45858,2,217,35,2.4992101853527666
45859,2,217,36,2.4831254498569613
45860,2,217,37,2.468596850209601
45861,2,217,38,2.4574093101042083
45862,2,217,39,2.4513200931145844
45863,2,217,40,2.451828082486333
45864,2,217,41,2.459974358772544
45865,2,217,42,2.4762026792352794
45866,2,217,43,2.500299166753138
45867,2,217,44,2.531418543539872
45868,2,217,45,2.5681914381231916
45869,2,217,46,1.6231697453330158
45870,2,217,47,1.639107481314498
45871,2,217,48,1.6655350499575738
45872,2,217,49,1.6987442968707256
45873,2,217,50,1.7349269463407349
45874,2,217,51,1.7706615226037936
45875,2,217,52,1.8033480733110667
45876,2,217,53,1.6756415680619876
45877,2,217,54,1.6706415458247144
45878,2,217,55,1.6585288377627105
45879,2,217,56,1.6407855856275615
45880,2,217,57,1.619109957652955
45881,2,217,58,1.5952379722196453
45882,2,217,59,1.5707855297907174
45883,2,217,60,1.547128995373406
45884,2,217,61,1.5253356917663379
45885,2,217,62,1.5061474353733035
45886,2,217,63,1.4900120404907504
45887,2,217,64,1.477150756219533
77824,3,217,1,1.7596505075655726
77825,3,217,2,1.774015608696293
77826,3,217,3,1.782615688549435
77827,3,217,4,1.7874776887636978
77828,3,217,5,1.7911813109870731
77829,3,217,6,1.7965163069986807
77830,3,217,7,2.039624839160838
77831,3,217,8,2.087639549117918
77832,3,217,9,2.14576743069468
77833,3,217,10,2.211517952167558
77834,3,217,11,2.2819735908565653
77835,3,217,12,2.353911987988289
77836,3,217,13,2.423998265867489
77837,3,217,14,2.4890261188109832
77838,3,217,15,2.5461765370134293
77839,3,217,16,2.5932581629641858
77840,3,217,17,2.6288941352168584
77841,3,217,18,2.652626754757066
77842,3,217,19,2.6649224358111594
77843,3,217,20,2.6670734669881377
77844,3,217,21,2.6610079435310965
77845,3,217,22,2.64903255255256
77846,3,217,23,2.6335426526711645
77847,3,217,24,2.616738791452934
77848,3,217,25,2.600387731202776
77849,3,217,26,2.5856593724713073
77850,3,217,27,2.573059693929889
77851,3,217,28,2.562465676292114
77852,3,217,29,2.553253280661035
77853,3,217,30,2.544496138678311
77854,3,217,31,2.5352026710968416
77855,3,217,32,2.524554329385044
77856,3,217,33,2.5121082435533104
77857,3,217,34,2.497933599644511
77858,3,217,35,2.482661586595344
77859,3,217,36,2.467442109467833
77860,3,217,37,2.4538146252518986
77861,3,217,38,2.443513288217871
77862,3,217,39,2.4382361949433653
77863,3,217,40,2.4394135092832823
77864,3,217,41,2.448008953962686
77865,3,217,42,2.4643837117198477
77866,3,217,43,2.4882420895484265
77867,3,217,44,2.5186658907675983
77868,3,217,45,2.5542312184493534
77869,3,217,46,1.6238626662535158
77870,3,217,47,1.6412929167853814
77871,3,217,48,1.6691341815938283
77872,3,217,49,1.7036179255926038
77873,3,217,50,1.740887925707396
77874,3,217,51,1.7774906059868933
77875,3,217,52,1.8108111002974472
77876,3,217,53,1.6751056420874424
77877,3,217,54,1.6698983308408533
77878,3,217,55,1.6573524550665846
77879,3,217,56,1.6390036556001752
77880,3,217,57,1.6166137344089144
77881,3,217,58,1.5919868366484873
77882,3,217,59,1.5668055317753211
77883,3,217,60,1.5425057009515324
77884,3,217,61,1.5202021356599658
77885,3,217,62,1.5006684475716985
77886,3,217,63,1.4843665581986372
77887,3,217,64,1.471513912599219
109824,4,217,1,1.7527023237394541
109825,4,217,2,1.7666750405398735
109826,4,217,3,1.7749839536934466
109827,4,217,4,1.7796655092169056
109828,4,217,5,1.7832975161405822
109829,4,217,6,1.7886562832774593
109830,4,217,7,2.0472120729495087
109831,4,217,8,2.0957112268753555
109832,4,217,9,2.1542907491266345
109833,4,217,10,2.220393370993541
109834,4,217,11,2.291032073279719
109835,4,217,12,2.362916649533908
109836,4,217,13,2.432651540252772
109837,4,217,14,2.4969829006121533
109838,4,217,15,2.5530629648434697
109839,4,217,16,2.598694881439816
109840,4,217,17,2.6325221462576938
109841,4,217,18,2.6541334554290352
109842,4,217,19,2.6640652288255318
109843,4,217,20,2.6636984656265112
109844,4,217,21,2.6550617684222653
109845,4,217,22,2.6405659751187938
109846,4,217,23,2.6227057772004883
109847,4,217,24,2.603768453615371
109848,4,217,25,2.5855886848161544
109849,4,217,26,2.569381509583188
109850,4,217,27,2.555673898604066
109851,4,217,28,2.5443408996750123
109852,4,217,29,2.534737049173301
109853,4,217,30,2.525900029153423
109854,4,217,31,2.5167934138373833
109855,4,217,32,2.506550270780335
109856,4,217,33,2.4946800623154344
109857,4,217,34,2.481207560010984
