,x,y,z,IC
9472,1,149,1,2.3313079531171716
9473,1,149,2,2.3716484264031275
9474,1,149,3,2.401206324913998
9475,1,149,4,2.4178112944240597
9476,1,149,5,2.4205251810201664
9477,1,149,6,2.1599894178157304
9478,1,149,7,2.1311006171955693
9479,1,149,8,2.1202019199478968
9480,1,149,9,2.1296020210563262
9481,1,149,10,2.1607524683438966
9482,1,149,11,2.2140439535644214
9483,1,149,12,2.2886754496580677
9484,1,149,13,2.3826142962387222
9485,1,149,14,2.492657217022462
9486,1,149,15,2.6145925723766252
9487,1,149,16,2.7434539116287517
9488,1,149,17,2.873845216587825
9489,1,149,18,3.000310233152579
9490,1,149,19,3.1177129403668853
9491,1,149,20,3.221594206243578
9492,1,149,21,3.308471363886839
9493,1,149,22,3.3760527283993027
9494,1,149,23,3.423347459955495
9495,1,149,24,3.4506617802721062
9496,1,149,25,3.459484206587846
9497,1,149,26,3.452273869293264
9498,1,149,27,3.4321758237543496
9499,1,149,28,3.402694416256971
9500,1,149,29,3.3673593878298576
9501,1,149,30,3.329419080684254
9502,1,149,31,3.291590902997224
9503,1,149,32,3.2558916309127315
9504,1,149,33,3.2235601136374585
9505,1,149,34,3.1950737274573546
9506,1,149,35,3.1702488726937834
9507,1,149,36,3.1484062740336523
9508,1,149,37,3.128574983796571
9509,1,149,38,3.1097056116535806
9510,1,149,39,3.0908637784901303
9511,1,149,40,3.0713789875296147
9512,1,149,41,3.050931415023405
9513,1,149,42,3.029568537960906
9514,1,149,43,3.0076537602036466
9515,1,149,44,2.9857588919312796
9516,1,149,45,2.9645201808103536
9517,1,149,46,2.9444825398257923
9518,1,149,47,2.925958012153354
9519,1,149,48,2.9089221858239824
9520,1,149,49,2.4291527549001946
9521,1,149,50,2.4341594477394732
9522,1,149,51,2.4321723280578746
9523,1,149,52,2.423361641695644
9524,1,149,53,2.4081617583620503
9525,1,149,54,2.387328534364199
9526,1,149,55,2.3619662748714205
9527,1,149,56,1.5078665455428808
9528,1,149,57,1.4457836708088316
9529,1,149,58,1.3819931201311457
9530,1,149,59,1.3198739642379067
9531,1,149,60,1.2627551343924304
9532,1,149,61,1.213722680799895
9533,1,149,62,1.1754510847950292
9534,1,149,63,1.150067692388849
9535,1,149,64,1.1390551917001612
